,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,RNNPlus,10401,0.449410617351532,0.5813943147659302,0.9838668704032898,1.2067413330078125,2,150
1,RNNPlus,10401,0.3950759768486023,0.5769702196121216,0.9752554893493652,1.2057572603225708,3,200
2,RNNPlus,10401,0.4710296392440796,0.5610049962997437,0.9678715467453003,1.1677923202514648,2,100
3,RNNPlus,10401,0.6355299949645996,0.5563017725944519,0.9641860723495483,1.149121642112732,1,50
4,RNNPlus,10401,0.2982751429080963,0.31466996669769287,0.6543173789978027,0.8482547998428345,7,200
5,RNNPlus,10401,0.3061431050300598,0.31045782566070557,0.6463208794593811,0.8483550548553467,2,50
6,RNNPlus,10401,0.3049794137477875,0.3091013431549072,0.6418979167938232,0.8454954028129578,4,100
7,RNNPlus,10401,0.3033050298690796,0.3051244914531708,0.641829788684845,0.836662232875824,5,150
