SMAP_L4_C_mdl_20150420T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015110,Lat-2.8567Lon-54.9589Samp1Line1,2022325184734,-0.313222,0.17512864,0.11717482,-0.21707976,-0.21793029,-0.3025004,-0.37145746,-0.1377252,-0.49398234
SMAP_L4_C_mdl_20150421T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015111,Lat-2.8567Lon-54.9589Samp1Line1,2022325184738,-0.36542603,0.070547625,-0.11042534,-0.30823338,-0.39411354,-0.6113139,-0.51352483,-0.3651067,-0.87611514
SMAP_L4_C_mdl_20150422T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015112,Lat-2.8567Lon-54.9589Samp1Line1,2022325184742,-0.9829901,-0.43373507,-0.58524585,-0.8204769,-0.87451935,-1.0172414,-0.99124134,-0.74574375,-1.1797523
SMAP_L4_C_mdl_20150423T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015113,Lat-2.8567Lon-54.9589Samp1Line1,2022325184747,-0.6924599,-0.46777588,-0.90470904,-0.26355445,-0.18532953,-0.3436466,-0.5478158,-0.61695015,-0.47646394
SMAP_L4_C_mdl_20150424T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015114,Lat-2.8567Lon-54.9589Samp1Line1,2022325184753,-0.97190946,-0.79054606,-1.2692586,-0.47338364,-0.44731376,-0.590762,-0.7219378,-0.83287585,-0.6420517
SMAP_L4_C_mdl_20150425T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015115,Lat-2.8567Lon-54.9589Samp1Line1,2022325184758,-0.074714966,0.18594407,-0.09336627,0.27633798,0.42081198,0.3184723,0.04045587,0.045700476,0.15134476
SMAP_L4_C_mdl_20150426T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015116,Lat-2.8567Lon-54.9589Samp1Line1,2022325184803,-0.58863026,-0.47614312,-0.9903928,0.044674743,0.03923641,-0.16805483,-0.01465687,-0.15935938,-0.13181318
SMAP_L4_C_mdl_20150427T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015117,Lat-2.8567Lon-54.9589Samp1Line1,2022325184808,0.15781772,0.2943155,-0.12407737,0.63892907,0.68030894,0.45763582,0.6157053,0.500133,0.4394608
SMAP_L4_C_mdl_20150428T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015118,Lat-2.8567Lon-54.9589Samp1Line1,2022325184811,-0.52192736,-0.3865755,-0.9120084,-0.14589873,-0.12773454,-0.34342313,-0.42856914,-0.5543139,-0.4796395
SMAP_L4_C_mdl_20150429T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015119,Lat-2.8567Lon-54.9589Samp1Line1,2022325184816,0.9585262,1.0626223,0.6634148,1.2697731,1.3645909,1.1070279,1.234939,1.2131014,1.0665115
SMAP_L4_C_mdl_20150430T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015120,Lat-2.8567Lon-54.9589Samp1Line1,2022325184820,-0.28635442,-0.10623207,-0.46871874,0.19255286,0.2708235,0.15317112,0.06301371,0.0137829175,0.122120045
SMAP_L4_C_mdl_20150501T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015121,Lat-2.8567Lon-54.9589Samp1Line1,2022325184825,-1.0907292,-0.5712005,-1.5984721,-0.7394185,-0.64547116,-0.9996994,-0.6886408,-0.6912438,-0.93874687
SMAP_L4_C_mdl_20150502T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015122,Lat-2.8567Lon-54.9589Samp1Line1,2022325184828,-0.38940132,0.08581449,-0.69586027,-0.16008371,-0.0036023455,-0.23244984,-0.17205524,-0.091986306,-0.22601359
SMAP_L4_C_mdl_20150503T000000_Vv7042_001.nee_mean,SPL4CMDL,A2015123,Lat-2.8567Lon-54.9589Samp1Line1,2022325184833,0.64663976,1.1253058,0.76733,0.7715389,1.0612719,0.99751574,0.77859926,0.96855307,0.8945274
